zip,er_visits,year,quarter,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
11417,38,2022,1,7,0,7,9,12,545,3,0,1,0,26,16,39,0,198,237,288,67
11417,47,2022,2,7,1,0,22,8,293,2,2,0,0,42,16,80,1,158,192,307,87
11417,47,2022,3,5,1,0,14,9,290,4,2,0,2,37,7,72,1,127,159,236,96
11417,47,2022,4,5,0,0,28,12,318,5,2,0,0,22,13,65,1,243,140,230,72
11418,71,2022,1,6,1,6,45,5,409,9,0,0,0,11,22,18,4,442,162,256,86
11418,76,2022,2,5,2,0,18,7,276,9,3,0,0,34,24,37,4,160,166,318,89
11418,82,2022,3,7,0,0,45,10,330,22,0,0,2,37,25,34,2,191,164,261,62
11418,113,2022,4,5,1,0,27,9,270,16,0,0,0,16,16,35,3,333,162,244,71
11419,37,2022,1,6,1,9,40,21,645,0,0,0,0,16,23,52,1,415,159,221,91
11419,63,2022,2,11,2,0,25,28,275,12,4,0,1,23,18,89,1,214,202,340,115
11419,44,2022,3,10,5,0,24,33,339,7,4,1,1,22,14,66,1,265,259,407,116
11419,60,2022,4,3,2,0,27,18,355,6,1,0,0,31,17,62,1,494,210,323,109
11420,60,2022,1,1,1,3,32,14,732,7,0,0,0,25,14,78,0,466,191,259,79
11420,54,2022,2,7,1,0,30,14,394,10,3,0,1,33,9,107,1,310,188,293,124
11420,51,2022,3,19,5,0,29,27,464,10,12,1,3,57,22,165,0,302,225,329,110
11420,51,2022,4,5,1,0,43,10,439,4,9,0,0,19,31,116,0,522,196,253,110
11421,37,2022,1,1,0,2,22,7,431,1,2,0,0,13,22,53,4,266,90,200,42
11421,48,2022,2,4,0,0,12,8,175,8,0,0,1,13,29,58,2,177,103,216,61
11421,36,2022,3,1,2,0,31,6,257,10,0,0,0,19,18,60,1,204,117,236,67
11421,54,2022,4,2,2,0,38,7,232,17,0,0,0,11,17,43,2,577,92,222,60
11422,14,2022,1,5,2,5,18,17,436,1,0,0,0,6,6,84,1,203,113,165,51
11422,26,2022,2,2,0,0,8,11,211,7,1,0,0,6,17,93,0,173,130,195,81
11422,33,2022,3,1,0,0,17,20,208,10,2,0,2,10,16,92,1,163,138,218,95
11422,34,2022,4,0,1,0,28,8,230,1,1,0,0,5,9,84,0,259,123,212,82
11423,NULL,2022,1,2,0,0,10,3,368,2,1,0,0,9,11,52,3,464,114,111,45
11423,NULL,2022,2,5,0,0,16,9,256,5,0,0,0,11,3,59,0,161,104,139,46
11423,NULL,2022,3,6,1,0,19,1,319,13,0,0,1,17,10,86,2,160,136,151,57
11423,NULL,2022,4,7,0,0,16,0,303,6,0,0,0,2,9,50,4,326,134,150,39
11426,12,2022,1,2,0,3,7,1,200,1,3,0,0,3,7,34,0,70,30,36,15
